,genere,edat,pp,p_cuid,p_prof_si
0,f,4,Sí,Sí,
1,f,4,Sí,Sí,psm
2,m,4,Sí,No,apaso
3,f,4,Sí,nvr,
4,f,3,Sí,No,
5,f,4,Sí,No,
6,f,4,Sí,Sí,
7,f,4,Sí,No,
8,m,4,No,Sí,
9,f,5,No,Sí,
10,f,3,Sí,No,
11,f,4,Sí,No,apasa
12,f,4,No,Sí,
13,f,5,Sí,No,
14,m,5,No,Sí,
15,f,3,Sí,Sí,apaso
16,f,6,Sí,Sí,
17,m,6,Sí,No,
18,f,6,No,No,
19,f,5,Sí,Sí,
20,m,5,Sí,No,a
21,f,4,No,Sí,
22,f,4,Sí,No,
23,f,2,Sí,No,
24,f,3,Sí,No,
25,m,5,Sí,Sí,
26,f,4,Sí,No,
27,f,3,Sí,No,
28,m,3,Sí,No,
29,f,2,Sí,No,
30,m,4,Sí,No,
31,f,3,Sí,No,
32,f,4,Sí,Sí,
33,f,3,No,No,
34,f,4,Sí,Sí,
35,f,3,Sí,No,
36,f,3,Sí,No,
37,m,5,No,No,
38,d,4,Sí,No,a
39,f,3,Sí,Sí,
40,d,3,Sí,No,
41,m,5,Sí,No,
42,d,2,Sí,No,
43,f,5,Sí,Sí,
44,f,5,Sí,Sí,
45,m,4,No,No,
46,m,4,Sí,No,
47,f,3,Sí,No,
48,f,5,Sí,Sí,
49,m,2,No,Sí,
50,f,5,Sí,No,psm
51,f,2,Sí,No,
52,f,2,No,No,
53,m,4,Sí,No,
54,f,5,Sí,No,
55,m,4,Sí,Sí,
56,f,2,Sí,No,
57,f,2,Sí,No,
58,f,5,Sí,No,
59,f,4,Sí,Sí,
60,m,5,Sí,No,psm
61,f,5,Sí,Sí,
62,f,4,Sí,No,a
63,f,3,No,No,
64,f,6,Sí,No,
65,f,5,Sí,No,
66,m,3,Sí,No,
67,m,5,Sí,No,
68,f,2,Sí,No,apaso
69,f,4,Sí,No,
70,m,4,Sí,No,
71,m,5,Sí,Sí,
72,f,6,Sí,Sí,
73,m,4,No,No,
74,f,2,Sí,No,
75,f,4,Sí,No,
76,f,5,Sí,Sí,a
77,m,4,Sí,No,
78,f,5,No,No,a
79,f,1,Sí,Sí,apaso
80,f,3,Sí,No,
81,f,4,Sí,No,apaso
82,f,6,Sí,No,
83,f,1,Sí,No,
84,f,4,Sí,No,apaso
85,f,4,No,Sí,psm
86,f,4,Sí,Sí,psm
87,m,1,Sí,Sí,
88,f,5,No,Sí,
89,m,4,Sí,Sí,
90,f,4,Sí,No,
91,f,3,Sí,No,
92,f,4,Sí,No,
93,nvr,3,Sí,Sí,
94,f,4,No,Sí,
95,f,4,Sí,No,a
96,f,3,Sí,No,psm
97,f,4,No,No,
98,f,5,Sí,Sí,
99,f,5,Sí,Sí,psm
100,f,4,No,Sí,a
101,m,5,Sí,No,psm
102,f,2,No,No,psm
103,f,5,Sí,No,apasa
104,m,2,Sí,No,apaso
105,f,4,Sí,No,apaso
106,f,5,Sí,No,a
107,f,nvr,Sí,Sí,
108,f,3,Sí,Sí,a
109,m,3,No,Sí,
110,f,2,Sí,No,
111,f,3,No,No,psm
112,f,4,Sí,No,apasa
113,f,3,No,Sí,a
114,f,1,Sí,No,psm
115,f,1,Sí,No,
116,f,3,Sí,No,
117,f,3,Sí,No,a
118,m,3,No,No,
119,f,4,No,No,
120,f,2,Sí,Sí,psm
121,f,4,Sí,Sí,
122,f,5,No,No,
123,f,4,Sí,Sí,
124,f,3,Sí,No,a
125,f,5,Sí,Sí,psm
126,m,3,No,No,
127,f,2,nvr,No,
128,f,5,Sí,No,
129,f,2,No,Sí,
130,m,4,No,No,
131,f,5,Sí,No,
132,m,4,No,No,psm
133,f,2,Sí,No,
134,f,2,Sí,Sí,apaso
135,m,6,Sí,No,
136,f,5,No,No,
137,f,3,No,No,
138,f,4,Sí,No,
139,f,5,Sí,No,
140,f,3,No,No,
141,f,3,Sí,No,
142,m,5,Sí,No,a
143,f,5,Sí,No,apasa
144,f,5,Sí,No,
145,f,6,Sí,No,a
146,f,3,Sí,Sí,apasa
147,f,5,Sí,No,
148,f,5,Sí,Sí,
149,m,5,Sí,Sí,
150,m,4,No,No,apasa
151,f,5,Sí,No,
152,m,6,nvr,Sí,
153,f,2,Sí,No,
154,f,3,Sí,No,psm
155,f,4,Sí,Sí,
156,f,6,Sí,No,
157,f,3,Sí,No,
158,m,5,Sí,No,
159,f,6,Sí,No,
160,m,6,No,No,
161,f,3,Sí,No,
162,f,5,Sí,No,
163,f,5,Sí,Sí,
164,f,4,No,No,
165,f,3,No,No,
166,m,4,No,No,
167,f,5,Sí,No,apasa
168,f,4,No,No,
169,m,5,Sí,No,
170,m,2,Sí,No,
171,m,4,No,No,
172,m,2,No,No,
173,f,2,No,No,psm
174,f,4,Sí,Sí,
175,f,3,Sí,No,
176,d,2,Sí,Sí,
177,f,4,No,No,
178,f,1,Sí,No,
179,f,2,Sí,No,
180,f,2,Sí,Sí,a
181,m,5,Sí,No,
182,m,4,Sí,Sí,
183,f,1,Sí,No,
184,f,5,No,No,
185,f,3,Sí,No,
186,f,3,Sí,No,
187,f,2,Sí,No,
188,f,3,Sí,No,
189,m,4,Sí,No,
190,f,3,Sí,No,
191,m,4,No,No,
192,f,5,Sí,Sí,a
193,m,3,Sí,No,
194,f,3,Sí,No,
195,m,6,No,No,
196,f,4,Sí,No,
197,m,4,Sí,No,apaso
198,m,1,No,No,
199,f,4,No,No,
200,f,4,No,Sí,apaso
201,f,4,Sí,No,apaso
202,m,3,Sí,No,
203,f,2,Sí,No,
204,f,4,Sí,Sí,
205,f,3,Sí,No,
206,m,6,No,Sí,
207,m,4,Sí,No,
208,f,4,Sí,No,
209,f,5,Sí,No,
210,f,5,No,No,psm
211,f,2,Sí,Sí,psm
212,f,4,No,Sí,psm
213,f,5,Sí,No,
214,f,5,Sí,Sí,a
215,f,4,Sí,Sí,
216,f,6,No,No,psm
217,m,4,Sí,No,psm
218,m,4,No,Sí,
219,f,1,Sí,No,apasa
220,f,4,Sí,No,
221,f,4,Sí,No,a
222,f,4,Sí,No,
223,f,4,Sí,No,
224,m,6,Sí,Sí,
225,f,4,Sí,Sí,
226,f,4,Sí,No,a
227,f,3,Sí,Sí,
228,m,4,Sí,No,
229,f,3,Sí,No,apaso
230,m,3,Sí,Sí,
231,m,5,Sí,No,
232,m,4,Sí,No,
233,f,3,Sí,No,
234,f,3,Sí,No,
235,f,5,Sí,No,
236,f,4,No,Sí,
237,f,5,Sí,Sí,psm
238,f,5,Sí,No,
239,m,3,No,No,
240,f,3,Sí,No,
241,f,4,No,Sí,
242,f,3,Sí,Sí,
243,f,3,No,No,apaso
244,f,5,Sí,No,
245,m,2,Sí,Sí,apasa
246,m,4,Sí,No,
247,f,6,nvr,No,
248,f,6,Sí,No,
249,m,2,Sí,No,
250,f,4,Sí,No,
251,f,4,Sí,Sí,apasa
252,f,4,Sí,No,
253,m,2,No,No,psm
254,f,3,Sí,No,
255,f,4,No,Sí,psm
256,f,3,Sí,No,
257,f,4,No,No,psm
258,m,2,Sí,No,
259,m,5,Sí,No,
260,f,2,Sí,No,
261,m,1,Sí,No,
262,f,5,Sí,No,
263,f,3,Sí,No,psm
264,d,2,Sí,No,apaso
265,f,3,Sí,No,
266,m,1,Sí,No,a
267,f,4,Sí,No,
268,d,2,Sí,Sí,apaso
269,f,2,Sí,No,
270,f,2,Sí,No,
271,f,6,nvr,Sí,
272,f,4,Sí,Sí,
